original_index,hate speech,counternarrative,Appropriate counternarrative (1) or non appropriate (0),Valid (1) / Non Valid (0) annotation,hsType,hsSubType,cnType,age,gender,educationLevel,cn_id,annotation of annotator 1 (0: non appropiate; 1: not sure; 2: appropiate counteranrrative),annotation of annotator 2 (0: non appropiate; 1: not sure; 2: appropiate counteranrrative),annotation of annotator 3 (0: non appropiate; 1: not sure; 2: appropiate counteranrrative)
2685,Nazism is like terrorism. At the beginning only a few Germans supported it and with Muslims it is the same.,"[fact check and post link to accurate statistics, statistic is likely false or extremely skewed][add meme] smh trying to post statistics when they're not even accurate.",0,1,Islamophobia,terrorism,"facts , humor",25.0,male,Some university without degree,ENT1ST0022HS0017CN001191,0,0,
2598,Islam is brainwashing its faithful. It is a horrible cult made of persons that reproduce continuously.,"[fact check and post link to accurate statistics, statistic is likely false or extremely skewed][add meme] smh trying to post statistics when they're not even accurate.",0,1,Islamophobia,culture,"facts , humor",25.0,male,Some university without degree,ENT1ST0022HS0017CN001191,0,0,
2771,"Sunnan abu dawud 38.4450 says that if a person does sex with an animal, there will be no sentence for this act.","[fact check and post link to accurate statistics, statistic is likely false or extremely skewed][add meme] smh trying to post statistics when they're not even accurate.",0,1,Islamophobia,culture,"facts , humor",25.0,male,Some university without degree,ENT1ST0022HS0017CN001191,0,0,
2628,We should pay attention to not offend Muslims while celebrating Christmas in our country.,"[fact check and post link to accurate statistics, statistic is likely false or extremely skewed][add meme] smh trying to post statistics when they're not even accurate.",0,1,Islamophobia,islamization,"facts , humor",25.0,male,Some university without degree,ENT1ST0022HS0017CN001191,0,0,
2186,"Muslims are two-faced, have you ever seen a Muslim protest against Isis or Saudi human right abuses?","[fact check and post link to accurate statistics, statistic is likely false or extremely skewed][add meme] smh trying to post statistics when they're not even accurate.",0,1,Islamophobia,terrorism,"facts , humor",25.0,male,Some university without degree,ENT1ST0022HS0017CN001191,0,0,
2728,Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,"[fact check and post link to accurate statistics, statistic is likely false or extremely skewed][add meme] smh trying to post statistics when they're not even accurate.",0,1,Islamophobia,"culture , islamization","facts , humor",25.0,male,Some university without degree,ENT1ST0022HS0017CN001191,0,0,
2580,"Europe is civilised, Muslims should not stay there.","[fact check and post link to accurate statistics, statistic is likely false or extremely skewed][add meme] smh trying to post statistics when they're not even accurate.",0,1,Islamophobia,generic,"facts , humor",25.0,male,Some university without degree,ENT1ST0022HS0017CN001191,0,0,
2157,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","[fact check and post link to accurate statistics, statistic is likely false or extremely skewed][add meme] smh trying to post statistics when they're not even accurate.",0,1,Islamophobia,crimes,"facts , humor",25.0,male,Some university without degree,ENT1ST0022HS0017CN001191,0,0,
4713,"Our politicians has permitted to enter in our country this Muslim filthiness: assaults with the machete, women violation, gang sexual violences, murders. How have they the courage to do this things?","26% of all doctors working in the NHS are Asian or Asian British, you want to bar them from accessing the service they keep running 24hrs a day?",0,1,Islamophobia,"crimes , rapism","facts , hypocrisy",25.0,male,Bachelor,ENT1ST0014HS0081CN000737,,,
4617,"It is time for us to take Islam for what it is. A murderous cult that should be exterminated, and that is the end of it.","26% of all doctors working in the NHS are Asian or Asian British, you want to bar them from accessing the service they keep running 24hrs a day?",0,1,Islamophobia,culture,"facts , hypocrisy",25.0,male,Bachelor,ENT1ST0014HS0081CN000737,,,
4930,A recent poll confirm a thrid of Britons believe there is a 'fundamental clash' between Islam and 'British values'.,"26% of all doctors working in the NHS are Asian or Asian British, you want to bar them from accessing the service they keep running 24hrs a day?",0,1,Islamophobia,culture,"facts , hypocrisy",25.0,male,Bachelor,ENT1ST0014HS0081CN000737,,,
4605,"If Muslims counteracted child rapists in their communities instead of engaging in public discussions about Islam, one day Islam indeed would become a peaceful religion.","26% of all doctors working in the NHS are Asian or Asian British, you want to bar them from accessing the service they keep running 24hrs a day?",0,1,Islamophobia,rapism,"facts , hypocrisy",25.0,male,Bachelor,ENT1ST0014HS0081CN000737,,,
4847,"When Islam hasn't arrived yet in England, things was good. Now we are full of muslim rapists and it is evident that sexual violence is jihad in England.","26% of all doctors working in the NHS are Asian or Asian British, you want to bar them from accessing the service they keep running 24hrs a day?",0,1,Islamophobia,rapism,"facts , hypocrisy",25.0,male,Bachelor,ENT1ST0014HS0081CN000737,,,
4620,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","26% of all doctors working in the NHS are Asian or Asian British, you want to bar them from accessing the service they keep running 24hrs a day?",0,1,Islamophobia,crimes,"facts , hypocrisy",25.0,male,Bachelor,ENT1ST0014HS0081CN000737,,,
4696,The problem of rape in Europe has been present since Muslims immigrants arrived there. They have been protected for years by the government and by the police who have not taken action.,"26% of all doctors working in the NHS are Asian or Asian British, you want to bar them from accessing the service they keep running 24hrs a day?",0,1,Islamophobia,rapism,"facts , hypocrisy",25.0,male,Bachelor,ENT1ST0014HS0081CN000737,,,
