original_index,hate speech,counternarrative,Appropriate counternarrative (1) or non appropriate (0),Valid (1) / Non Valid (0) annotation,hsType,hsSubType,cnType,age,gender,educationLevel,cn_id,annotation of annotator 1 (0: non appropiate; 1: not sure; 2: appropiate counteranrrative),annotation of annotator 2 (0: non appropiate; 1: not sure; 2: appropiate counteranrrative),annotation of annotator 3 (0: non appropiate; 1: not sure; 2: appropiate counteranrrative)
2685,Nazism is like terrorism. At the beginning only a few Germans supported it and with Muslims it is the same.,"[fact check and post link to accurate statistics, statistic is likely false or extremely skewed][add meme] smh trying to post statistics when they're not even accurate.",0,1,Islamophobia,terrorism,"facts , humor",25.0,male,Some university without degree,ENT1ST0022HS0017CN001191,0,0,
2598,Islam is brainwashing its faithful. It is a horrible cult made of persons that reproduce continuously.,"[fact check and post link to accurate statistics, statistic is likely false or extremely skewed][add meme] smh trying to post statistics when they're not even accurate.",0,1,Islamophobia,culture,"facts , humor",25.0,male,Some university without degree,ENT1ST0022HS0017CN001191,0,0,
2771,"Sunnan abu dawud 38.4450 says that if a person does sex with an animal, there will be no sentence for this act.","[fact check and post link to accurate statistics, statistic is likely false or extremely skewed][add meme] smh trying to post statistics when they're not even accurate.",0,1,Islamophobia,culture,"facts , humor",25.0,male,Some university without degree,ENT1ST0022HS0017CN001191,0,0,
2628,We should pay attention to not offend Muslims while celebrating Christmas in our country.,"[fact check and post link to accurate statistics, statistic is likely false or extremely skewed][add meme] smh trying to post statistics when they're not even accurate.",0,1,Islamophobia,islamization,"facts , humor",25.0,male,Some university without degree,ENT1ST0022HS0017CN001191,0,0,
2186,"Muslims are two-faced, have you ever seen a Muslim protest against Isis or Saudi human right abuses?","[fact check and post link to accurate statistics, statistic is likely false or extremely skewed][add meme] smh trying to post statistics when they're not even accurate.",0,1,Islamophobia,terrorism,"facts , humor",25.0,male,Some university without degree,ENT1ST0022HS0017CN001191,0,0,
2728,Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,"[fact check and post link to accurate statistics, statistic is likely false or extremely skewed][add meme] smh trying to post statistics when they're not even accurate.",0,1,Islamophobia,"culture , islamization","facts , humor",25.0,male,Some university without degree,ENT1ST0022HS0017CN001191,0,0,
2580,"Europe is civilised, Muslims should not stay there.","[fact check and post link to accurate statistics, statistic is likely false or extremely skewed][add meme] smh trying to post statistics when they're not even accurate.",0,1,Islamophobia,generic,"facts , humor",25.0,male,Some university without degree,ENT1ST0022HS0017CN001191,0,0,
2157,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","[fact check and post link to accurate statistics, statistic is likely false or extremely skewed][add meme] smh trying to post statistics when they're not even accurate.",0,1,Islamophobia,crimes,"facts , humor",25.0,male,Some university without degree,ENT1ST0022HS0017CN001191,0,0,
3998,Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,Apart from all the scientists that are also muslim?,0,1,Islamophobia,"culture , islamization",hypocrisy,25.0,male,Master,ENT1ST0008HS0098CN000158,0,0,0
3685,Islam is just a bestial cult of brainwashed lunatics who breed like rats.,Apart from all the scientists that are also muslim?,0,1,Islamophobia,culture,hypocrisy,25.0,male,Master,ENT1ST0008HS0098CN000158,0,0,0
3427,"It is time for us to take Islam for what it is. A murderous cult that should be exterminated, and that is the end of it.",Apart from all the scientists that are also muslim?,0,1,Islamophobia,culture,hypocrisy,25.0,male,Master,ENT1ST0008HS0098CN000158,0,1,0
3779,There are muslim shops in Birmingham that do not serve their white clients and have signs that say:'No Whites after 8 p.m.'.,Apart from all the scientists that are also muslim?,0,1,Islamophobia,islamization,hypocrisy,25.0,male,Master,ENT1ST0008HS0098CN000158,0,0,0
3664,Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,Apart from all the scientists that are also muslim?,0,1,Islamophobia,crimes,hypocrisy,25.0,male,Master,ENT1ST0008HS0098CN000158,0,0,0
3437,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Apart from all the scientists that are also muslim?,0,1,Islamophobia,crimes,hypocrisy,25.0,male,Master,ENT1ST0008HS0098CN000158,0,1,0
3810,Their Prophet was a paedophile.,Apart from all the scientists that are also muslim?,0,1,Islamophobia,rapism,hypocrisy,25.0,male,Master,ENT1ST0008HS0098CN000158,0,0,0
4092,"Our country wants to shut up those who speak against islam, but it isn't right, they are the only ones who expose themselves.",Apart from all the scientists that are also muslim?,0,1,Islamophobia,"crimes , rapism , terrorism",hypocrisy,25.0,male,Master,ENT1ST0008HS0098CN000158,0,0,0
1550,Muslims in Britain vote for the Labour party. This is why the problem of antisemitism is not solved. It is a mathematical fact!,"Bit of a generalisation that, isn't it? If you cannot see that most Muslims contribute positively to the UK, you need to do a quick google search I think.",0,1,Islamophobia,generic,"denouncing , hypocrisy",21.0,female,Master,ENT1ST0014HS0081CN000738,0,0,
